Rank,CCA3,Country/Territory,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage
36,AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52
138,ALB,Albania,Tirana,Europe,28748,98.8702,0.9957,0.04
34,DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56
213,ASM,American Samoa,Pago Pago,Oceania,199,222.4774,0.9831,0
203,AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0
42,AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45
224,AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0
201,ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0
33,ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57
140,ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03
198,ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0
55,AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33
99,AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11
91,AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13
176,BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01
154,BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02
8,BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15
186,BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1,0
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01
108,BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09
58,BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28
78,BDI,Burundi,Bujumbura,Africa,27834,463.0874,1.027,0.16
73,KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21
53,CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35
39,CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48
171,CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01
205,CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0
117,CAF,Central African Republic,Bangui,Africa,622984,8.9555,1.0224,0.07
69,TCD,Chad,N'Djamena,Africa,1284000,13.8032,1.0316,0.22
65,CHL,Chile,Santiago,South America,756102,25.9274,1.0057,0.25
1,CHN,China,Beijing,Asia,9706961,146.8933,1,17.88
28,COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65
163,COM,Comoros,Moroni,Africa,1862,449.3953,1.0184,0.01
223,COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0
124,CRI,Costa Rica,San José,North America,51100,101.3861,1.0052,0.06
130,HRV,Croatia,Zagreb,Europe,56594,71.2153,0.9927,0.05
85,CUB,Cuba,Havana,North America,109884,102.0366,0.9961,0.14
189,CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0
158,CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02
88,CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13
115,DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07
160,DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01
204,DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0
84,DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14
15,COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24
67,ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23
14,EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39
112,SLV,El Salvador,San Salvador,North America,21041,301.145,1.0035,0.08
152,GNQ,Equatorial Guinea,Malabo,Africa,28051,59.7094,1.0247,0.02
132,ERI,Eritrea,Asmara,Africa,117600,31.3268,1.0176,0.05
156,EST,Estonia,Tallinn,Europe,45227,29.3201,0.998,0.02
159,SWZ,Eswatini,Mbabane,Africa,17364,69.2047,1.0079,0.02
12,ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55
231,FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0
209,FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0
162,FJI,Fiji,Suva,Oceania,18272,50.8847,1.0056,0.01
118,FIN,Finland,Helsinki,Europe,338424,16.3722,1.0009,0.07
23,FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81
184,GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0
183,PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0
146,GAB,Gabon,Libreville,Africa,267668,8.9252,1.0204,0.03
142,GMB,Gambia,Banjul,Africa,10689,253.1567,1.025,0.03
131,GEO,Georgia,Tbilisi,Asia,69700,53.7214,0.9964,0.05
19,DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05
47,GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42
219,GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0
90,GRC,Greece,Athens,Europe,131990,78.68,0.9942,0.13
208,GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0
193,GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0
